"id","timestamp","detail","level"
78309,"2026-07-02 21:30:36.255335",Starting update loop: 26100,DEBUG
78310,"2026-07-02 21:30:36.531055",no target found,INFO
78311,"2026-07-02 21:30:36.534358",Ending update loop: 26100,DEBUG
78312,"2026-07-02 21:30:37.255139",Starting update loop: 26101,DEBUG
78313,"2026-07-02 21:30:37.481554",no target found,INFO
78314,"2026-07-02 21:30:37.487146",Ending update loop: 26101,DEBUG
78315,"2026-07-02 21:30:38.254765",Starting update loop: 26102,DEBUG
78316,"2026-07-02 21:30:38.526709",no target found,INFO
78317,"2026-07-02 21:30:38.530958",Ending update loop: 26102,DEBUG
78318,"2026-07-02 21:30:39.254812",Starting update loop: 26103,DEBUG
78319,"2026-07-02 21:30:39.500121",no target found,INFO
78320,"2026-07-02 21:30:39.504367",Ending update loop: 26103,DEBUG
78321,"2026-07-02 21:30:40.254541",Starting update loop: 26104,DEBUG
78322,"2026-07-02 21:30:40.564256",no target found,INFO
78323,"2026-07-02 21:30:40.568717",Ending update loop: 26104,DEBUG
78324,"2026-07-02 21:30:41.254225",Starting update loop: 26105,DEBUG
78325,"2026-07-02 21:30:41.488743",no target found,INFO
78326,"2026-07-02 21:30:41.496766",Ending update loop: 26105,DEBUG
78327,"2026-07-02 21:30:42.255381",Starting update loop: 26106,DEBUG
78328,"2026-07-02 21:30:42.530100",no target found,INFO
78329,"2026-07-02 21:30:42.535266",Ending update loop: 26106,DEBUG
78330,"2026-07-02 21:30:43.256719",Starting update loop: 26107,DEBUG
78331,"2026-07-02 21:30:43.493173",no target found,INFO
78332,"2026-07-02 21:30:43.498960",Ending update loop: 26107,DEBUG
78333,"2026-07-02 21:30:44.255076",Starting update loop: 26108,DEBUG
78334,"2026-07-02 21:30:44.529312",no target found,INFO
78335,"2026-07-02 21:30:44.533394",Ending update loop: 26108,DEBUG
78336,"2026-07-02 21:30:45.256325",Starting update loop: 26109,DEBUG
78337,"2026-07-02 21:30:45.483866",no target found,INFO
78338,"2026-07-02 21:30:45.487712",Ending update loop: 26109,DEBUG
78339,"2026-07-02 21:30:46.254812",Starting update loop: 26110,DEBUG
78340,"2026-07-02 21:30:46.534837",no target found,INFO
78341,"2026-07-02 21:30:46.540237",Ending update loop: 26110,DEBUG
78342,"2026-07-02 21:30:47.254473",Starting update loop: 26111,DEBUG
78343,"2026-07-02 21:30:47.492879",no target found,INFO
78344,"2026-07-02 21:30:47.497941",Ending update loop: 26111,DEBUG
78345,"2026-07-02 21:30:48.254889",Starting update loop: 26112,DEBUG
78346,"2026-07-02 21:30:48.511332",no target found,INFO
78347,"2026-07-02 21:30:48.515070",Ending update loop: 26112,DEBUG
78348,"2026-07-02 21:30:49.254522",Starting update loop: 26113,DEBUG
78349,"2026-07-02 21:30:49.484328",no target found,INFO
78350,"2026-07-02 21:30:49.495437",Ending update loop: 26113,DEBUG
78351,"2026-07-02 21:30:50.254509",Starting update loop: 26114,DEBUG
78352,"2026-07-02 21:30:50.515910",no target found,INFO
78353,"2026-07-02 21:30:50.519894",Ending update loop: 26114,DEBUG
78354,"2026-07-02 21:30:51.254416",Starting update loop: 26115,DEBUG
78355,"2026-07-02 21:30:51.485053",no target found,INFO
78356,"2026-07-02 21:30:51.494540",Ending update loop: 26115,DEBUG
78357,"2026-07-02 21:30:52.254645",Starting update loop: 26116,DEBUG
78358,"2026-07-02 21:30:52.496985",no target found,INFO
78359,"2026-07-02 21:30:52.499608",Ending update loop: 26116,DEBUG
78360,"2026-07-02 21:30:53.254112",Starting update loop: 26117,DEBUG
78361,"2026-07-02 21:30:53.485781",no target found,INFO
78362,"2026-07-02 21:30:53.491076",Ending update loop: 26117,DEBUG
78363,"2026-07-02 21:30:54.254553",Starting update loop: 26118,DEBUG
78364,"2026-07-02 21:30:54.500946",no target found,INFO
78365,"2026-07-02 21:30:54.504483",Ending update loop: 26118,DEBUG
78366,"2026-07-02 21:30:55.254533",Starting update loop: 26119,DEBUG
78367,"2026-07-02 21:30:55.486725",no target found,INFO
78368,"2026-07-02 21:30:55.491092",Ending update loop: 26119,DEBUG
78369,"2026-07-02 21:30:56.255114",Starting update loop: 26120,DEBUG
78370,"2026-07-02 21:30:56.498115",no target found,INFO
78371,"2026-07-02 21:30:56.502444",Ending update loop: 26120,DEBUG
78372,"2026-07-02 21:30:57.254468",Starting update loop: 26121,DEBUG
78373,"2026-07-02 21:30:57.485999",no target found,INFO
78374,"2026-07-02 21:30:57.491019",Ending update loop: 26121,DEBUG
78375,"2026-07-02 21:30:58.254200",Starting update loop: 26122,DEBUG
78376,"2026-07-02 21:30:58.496864",no target found,INFO
78377,"2026-07-02 21:30:58.500134",Ending update loop: 26122,DEBUG
78378,"2026-07-02 21:30:59.254950",Starting update loop: 26123,DEBUG
78379,"2026-07-02 21:30:59.478854",no target found,INFO
78380,"2026-07-02 21:30:59.486122",Ending update loop: 26123,DEBUG
78381,"2026-07-02 21:31:00.255899",Starting update loop: 26124,DEBUG
78382,"2026-07-02 21:31:00.497181",no target found,INFO
78383,"2026-07-02 21:31:00.500430",Ending update loop: 26124,DEBUG
78384,"2026-07-02 21:31:01.254373",Starting update loop: 26125,DEBUG
78385,"2026-07-02 21:31:01.476660",no target found,INFO
78386,"2026-07-02 21:31:01.495058",Ending update loop: 26125,DEBUG
78387,"2026-07-02 21:31:02.254404",Starting update loop: 26126,DEBUG
78388,"2026-07-02 21:31:02.559445",no target found,INFO
78389,"2026-07-02 21:31:02.564527",Ending update loop: 26126,DEBUG
78390,"2026-07-02 21:31:03.258976",Starting update loop: 26127,DEBUG
78391,"2026-07-02 21:31:03.506972",no target found,INFO
78392,"2026-07-02 21:31:03.516932",Ending update loop: 26127,DEBUG
78393,"2026-07-02 21:31:04.254907",Starting update loop: 26128,DEBUG
78394,"2026-07-02 21:31:04.517079",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78395,"2026-07-02 21:31:06.174817",created browser Boisterous Simon,INFO
78396,"2026-07-02 21:31:06.183464",no browser available for 33cc528e-2c74-4da0-9d15-f3464fd353e8,WARNING
78397,"2026-07-02 21:31:06.187940",Ending update loop: 26128,DEBUG
78398,"2026-07-02 21:31:06.191310",Starting update loop: 26129,DEBUG
78399,"2026-07-02 21:31:06.464730",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78400,"2026-07-02 21:31:06.471745",browser Boisterous Simon selected for 33cc528e-2c74-4da0-9d15-f3464fd353e8,INFO
78401,"2026-07-02 21:31:06.478729",Ending update loop: 26129,DEBUG
78402,"2026-07-02 21:31:06.486612",Starting update loop: 26130,DEBUG
78403,"2026-07-02 21:31:06.723485",no target found,INFO
78404,"2026-07-02 21:31:06.729873",Ending update loop: 26130,DEBUG
78405,"2026-07-02 21:31:07.254318",Starting update loop: 26131,DEBUG
78406,"2026-07-02 21:31:07.554920",no target found,INFO
78407,"2026-07-02 21:31:07.561329",Ending update loop: 26131,DEBUG
78408,"2026-07-02 21:31:08.255799",Starting update loop: 26132,DEBUG
78409,"2026-07-02 21:31:08.504840",no target found,INFO
78410,"2026-07-02 21:31:08.508827",Ending update loop: 26132,DEBUG
78411,"2026-07-02 21:31:09.254992",Starting update loop: 26133,DEBUG
78412,"2026-07-02 21:31:09.571254",no target found,INFO
78413,"2026-07-02 21:31:09.577420",Ending update loop: 26133,DEBUG
78414,"2026-07-02 21:31:10.255336",Starting update loop: 26134,DEBUG
78415,"2026-07-02 21:31:10.502975",no target found,INFO
78416,"2026-07-02 21:31:10.507332",Ending update loop: 26134,DEBUG
78417,"2026-07-02 21:31:11.255369",Starting update loop: 26135,DEBUG
78418,"2026-07-02 21:31:11.597140",no target found,INFO
78419,"2026-07-02 21:31:11.601752",Ending update loop: 26135,DEBUG
78420,"2026-07-02 21:31:12.255001",Starting update loop: 26136,DEBUG
78421,"2026-07-02 21:31:12.486761",no target found,INFO
78422,"2026-07-02 21:31:12.491403",Ending update loop: 26136,DEBUG
78423,"2026-07-02 21:31:13.254477",Starting update loop: 26137,DEBUG
78424,"2026-07-02 21:31:13.578077",no target found,INFO
78425,"2026-07-02 21:31:13.610473",Ending update loop: 26137,DEBUG
78426,"2026-07-02 21:31:14.254183",Starting update loop: 26138,DEBUG
78427,"2026-07-02 21:31:14.485066",no target found,INFO
78428,"2026-07-02 21:31:14.489575",Ending update loop: 26138,DEBUG
78429,"2026-07-02 21:31:15.254540",Starting update loop: 26139,DEBUG
78430,"2026-07-02 21:31:15.556546",no target found,INFO
78431,"2026-07-02 21:31:15.566134",Ending update loop: 26139,DEBUG
